109	222	
194	271	
234	308	
92	222	
222	276	
109	222	
222	276	
276	435	
293	308	
7	234	
109	222	
7	234	
94	276	
109	222	
222	276	
109	222	
7	234	
92	276	
59	308	
234	308	
293	308	
308	406	
59	406	
92	222	
7	313	
92	222	
222	276	
59	308	
194	271	
303	429	
7	308	
7	234	
94	276	
94	276	
276	303	
311	450	
222	276	
92	276	
276	303	
7	308	
194	271	
59	308	
94	429	
308	429	
92	276	
59	406	
59	406	
194	271	
92	222	
7	234	
59	308	
194	271	
234	308	
293	308	
293	308	
194	271	
94	276	
109	222	
194	271	
222	276	
308	406	
311	450	
92	222	
109	222	
194	311	
94	276	
94	276	
194	271	
293	308	
308	429	
92	276	
194	313	
94	276	
276	303	
109	222	
222	276	
276	303	
59	308	
94	276	
194	271	
222	276	
234	308	
194	311	
7	234	
234	308	
94	276	
92	222	
222	276	
7	234	
234	308	
293	308	
308	406	
7	234	
92	222	
222	276	
234	308	
194	311	
194	271	
92	276	
234	308	
308	406	
92	222	
234	308	
293	308	
92	222	
7	308	
234	308	
276	303	
293	308	
92	222	
92	222	
109	222	
194	311	
222	276	
276	303	
59	308	
194	271	
234	308	
92	222	
109	222	
109	222	
59	308	
194	311	
234	308	
194	311	
59	308	
92	276	
94	276	
92	222	
59	308	
94	429	
308	429	
194	271	
94	276	
222	276	
276	303	
92	276	
92	276	
293	308	
222	276	
276	303	
7	308	
59	308	
109	222	
222	276	
308	429	
7	313	
194	271	
7	308	
94	429	
308	429	
92	222	
94	276	
222	276	
7	234	
7	313	
276	303	
276	303	
7	234	
222	276	
234	450	
311	450	
92	222	
94	429	
293	308	
308	429	
276	303	
234	308	
293	308	
92	222	
7	234	
7	308	
92	276	
7	313	
94	276	
94	276	
109	222	
222	276	
92	222	
109	222	
7	234	
92	222	
194	311	
234	308	
7	313	
194	313	
7	308	
92	222	
222	276	
276	303	
293	308	
308	406	
7	308	
293	308	
7	234	
92	276	
94	276	
234	308	
59	308	
234	308	
92	222	
109	222	
194	271	
92	222	
7	308	
59	308	
194	313	
92	276	
276	303	
7	308	
59	308	
234	450	
311	450	
92	276	
94	276	
194	271	
7	308	
92	276	
194	311	
276	303	
293	308	
308	406	
7	313	
7	308	
59	308	
293	308	
311	450	
194	271	
59	406	
94	276	
276	303	
194	271	
234	308	
7	406	
59	406	
194	311	
276	435	
7	234	
194	271	
234	308	
194	271	
234	308	
7	234	
194	311	
234	308	
234	450	
7	406	
59	406	
194	311	
7	234	
92	222	
109	222	
222	276	
308	429	
308	406	
7	313	
109	222	
7	313	
92	276	
94	276	
194	311	
276	303	
59	308	
109	222	
222	276	
7	234	
194	311	
234	308	
94	276	
7	234	
59	406	
92	276	
276	303	
7	234	
222	276	
276	303	
7	234	
194	311	
194	311	
92	276	
94	276	
59	308	
92	222	
109	222	
293	308	
109	222	
194	313	
303	429	
308	429	
92	276	
94	276	
7	308	
92	276	
194	311	
276	303	
293	308	
94	276	
7	234	
59	429	
92	276	
94	276	
276	303	
303	429	
222	276	
276	303	
94	276	
194	311	
222	276	
276	303	
234	308	
94	276	
194	311	
222	276	
234	308	
276	303	
194	271	
59	308	
92	276	
308	406	
194	311	
7	234	
94	276	
92	222	
109	222	
92	276	
276	303	
222	276	
92	222	
109	222	
276	303	
7	308	
293	308	
94	276	
234	308	
311	450	
222	276	
276	303	
222	276	
92	276	
94	276	
276	303	
303	429	
194	271	
92	222	
222	276	
276	303	
92	222	
109	222	
92	222	
109	222	
94	276	
234	308	
194	271	
234	308	
7	234	
92	222	
94	276	
222	276	
276	303	
173	451	
194	271	
92	276	
234	308	
276	303	
173	451	
276	303	
293	308	
7	234	
173	451	
222	276	
276	303	
92	222	
171	284	
194	271	
59	406	
92	276	
