18	194	222	
18	234	271	
18	271	308	
18	308	339	
56	109	222	
56	222	301	
94	194	222	
94	222	301	
94	308	339	
95	194	222	
109	222	301	
194	222	301	
194	234	271	
194	271	308	
194	308	339	
234	271	308	
234	308	339	
271	308	339	
13	293	450	
92	222	276	
92	268	276	
92	276	293	
201	276	293	
201	293	450	
222	276	293	
222	293	450	
268	276	293	
276	293	450	
109	222	276	
109	276	291	
130	222	276	
130	276	291	
194	222	276	
194	308	389	
201	276	291	
222	276	291	
276	308	389	
109	276	293	
276	293	308	
7	59	151	
7	95	194	
7	194	222	
56	109	200	
56	222	291	
56	301	347	
59	151	234	
59	194	222	
95	194	222	
109	200	301	
109	222	291	
109	301	347	
194	222	291	
194	301	347	
200	301	347	
222	301	347	
7	85	234	
7	94	222	
7	234	271	
7	293	378	
85	234	271	
94	222	276	
94	276	293	
94	293	378	
109	200	301	
109	222	276	
109	276	293	
178	222	276	
201	276	293	
201	293	378	
222	276	293	
222	293	378	
234	293	378	
276	293	378	
94	222	301	
94	303	327	
109	222	301	
109	301	303	
201	303	327	
222	301	303	
222	303	327	
222	311	328	
301	303	327	
7	59	151	
59	151	234	
92	276	301	
18	59	94	
18	90	234	
18	151	234	
18	194	222	
18	234	293	
18	308	339	
59	94	194	
59	151	234	
59	194	222	
59	234	293	
59	293	308	
59	308	339	
59	339	406	
90	234	293	
94	194	222	
94	222	293	
94	293	308	
94	308	339	
94	339	406	
130	222	293	
151	234	293	
151	308	339	
194	222	293	
194	234	293	
194	293	308	
194	308	339	
194	339	406	
222	293	308	
234	293	308	
234	308	339	
293	308	339	
293	339	406	
308	339	406	
18	59	85	
18	85	151	
18	151	271	
59	85	151	
59	151	271	
85	151	271	
6	18	59	
13	234	406	
18	59	234	
18	90	234	
18	234	406	
59	234	406	
90	234	406	
6	271	311	
92	178	222	
92	222	291	
92	291	303	
151	234	271	
151	271	311	
178	222	291	
222	291	303	
234	271	311	
7	293	313	
7	311	313	
7	313	326	
92	178	222	
92	222	276	
92	276	293	
130	222	276	
130	276	293	
178	222	276	
178	301	347	
222	276	293	
222	293	313	
222	301	347	
222	311	313	
267	276	293	
271	311	313	
271	313	326	
276	293	313	
276	301	347	
293	313	326	
311	313	326	
6	194	293	
59	94	194	
59	194	293	
59	293	339	
94	194	293	
94	293	339	
194	293	339	
201	293	339	
92	94	303	
92	291	303	
13	194	222	
13	308	339	
18	59	85	
18	85	90	
18	151	271	
18	194	222	
18	271	308	
18	308	339	
56	222	301	
56	301	347	
59	85	90	
59	151	271	
59	194	222	
59	271	308	
59	308	339	
85	151	271	
85	194	222	
85	271	308	
151	271	308	
151	308	339	
178	222	301	
178	301	347	
194	222	301	
194	271	308	
194	301	347	
194	308	339	
200	301	347	
222	301	347	
271	308	339	
18	194	222	
95	194	222	
194	222	303	
201	303	429	
222	303	429	
6	308	339	
7	60	312	
7	94	308	
7	308	339	
7	311	405	
42	311	405	
92	94	308	
94	308	339	
56	222	374	
56	109	301	
56	301	303	
92	94	293	
92	109	301	
92	268	303	
94	293	303	
109	301	303	
271	313	398	
293	313	398	
59	94	293	
94	276	303	
268	276	303	
271	311	450	
59	94	293	
130	276	291	
276	393	416	
92	109	394	
92	268	303	
92	303	417	
268	303	417	
92	276	303	
92	303	416	
95	311	328	
276	303	416	
7	194	271	
7	308	313	
7	311	313	
42	311	313	
130	303	308	
194	271	308	
194	308	313	
194	311	313	
269	308	313	
271	308	313	
271	311	313	
303	308	313	
13	308	429	
59	85	90	
59	94	308	
59	308	429	
94	308	429	
92	276	291	
18	59	151	
59	92	291	
130	222	291	
130	303	416	
222	291	303	
222	303	416	
222	393	416	
291	303	416	
59	94	378	
59	234	271	
59	271	311	
234	271	311	
326	398	407	
94	194	271	
92	222	291	
130	222	291	
7	59	194	
7	194	234	
7	234	271	
7	293	308	
43	378	416	
59	194	234	
59	234	271	
59	271	308	
59	293	308	
194	234	271	
194	271	308	
194	293	308	
234	271	308	
234	293	308	
267	276	291	
276	293	308	
276	378	416	
276	393	416	
293	378	416	
94	293	303	
94	303	308	
94	308	339	
130	303	308	
267	268	303	
268	303	308	
269	308	339	
293	303	308	
293	308	339	
303	308	339	
6	194	271	
6	271	313	
13	194	271	
13	293	313	
56	301	347	
85	194	271	
85	271	313	
130	276	291	
194	271	313	
194	293	313	
194	301	347	
200	301	347	
201	276	291	
201	293	313	
276	293	313	
276	301	347	
18	85	151	
18	151	271	
18	194	222	
18	271	308	
18	308	339	
85	151	271	
85	194	222	
85	271	308	
94	194	222	
94	222	276	
94	276	301	
94	308	339	
94	339	406	
109	222	276	
109	276	301	
130	222	276	
130	276	301	
151	271	308	
151	308	339	
178	222	276	
194	222	276	
194	271	308	
194	308	339	
194	311	450	
194	339	406	
222	276	301	
222	311	450	
271	308	339	
